,c49b5c,c32a4c,c10a2b,c20a3b
1,,,130.2027586,257.9631757
2,,,62.36596332,197.0024646
3,,,25.7686023,120.9957099
4,,,22.19803903,63.47556788
5,,,24.03122743,49.42445168
6,,,20.32025626,44.88723558
7,,,21.13558614,41.43203631
8,,,21.57986983,31.39099268
9,,,22.40807281,31.53534959
10,96.71886411,135.2003328,16.29208245,22.27592683
11,93.73221596,108.7817045,15.80319241,26.14732162
12,65.59456149,80.93013105,14.07106781,22.73470925
13,44.24981933,80.08995867,16.27647268,22.66301213
14,36.97254156,53.51843156,10.5,22.50995638
15,40.65687764,42.85754093,12.16564949,31.3553441
16,37.1983284,31.52658905,12.26498204,
17,24.13576252,20.07454283,11.88516481,
18,31.69167931,23.65672456,13.72603836,
19,31.48447542,26.08773354,15.15891053,
20,33.09726771,24.29259001,15.08009217,
21,31.40104107,23.65454459,10.41010262,
22,,26.4804788,11.11285045,
23,,31.13701553,9.852349955,
24,,19.19127207,7.443168516,
25,,,8.459962807,
26,,,8.503264829,
