,c10a2b_1,c20a3b_1,c20a3b_2,c32a4c_1,c32a4c_2,c50a5b_1,c50a5b_2,c9a2b_1,c9a2b_2,c9b1c_1,c9b1c_2,c9b1c_3,c9b1c
1,119,220.0568108,233.173755,136.3671515,132.0037878,273.2325017,280.8131051,138.8128236,75.02666193,115.8015544,115.8015544,121.3960461,118.5988002
2,121.5935854,189.3911297,188.8623838,112,109.0733698,113.6001761,112.7874106,101.6366076,146.812806,84.1546196,84.1546196,83.57032966,83.86247463
3,60.16643583,117.3243368,119.8540779,85.02352616,81.88406438,103.0776406,103.247276,166.9041641,103.7304198,81.85963596,81.85963596,83.6480723,82.75385413
4,25,61.46543744,60.16643583,86.02325267,83.19855768,90,88.95504483,157.7846634,149.7230777,73.430239,73.430239,74.33034374,73.88029137
5,20.88061302,50.11985634,52.20153254,58.00862005,46.69047012,66.12110102,68.8839604,106.4048871,154.304893,57.62811814,57.62811814,60.74537019,59.18674417
6,22.8035085,42.94182111,42.72001873,39.11521443,42.05948169,40.01249805,38.32753579,78.64477096,110.3449138,39.69886648,39.69886648,41.01219331,40.3555299
7,21.1896201,38.58756276,40.85339643,37.85498646,27.85677655,30.06659276,32.24903099,30.61045573,70.83784299,41.40048309,41.40048309,37.64306045,39.52177177
8,19.92485885,32.20248438,34.0147027,22.56102835,17.4642492,25.01999201,22.20360331,27.58622845,27.65863337,21.40093456,21.40093456,24.08318916,22.74206186
9,22.13594362,30.52867504,26.57066051,23.53720459,23.2594067,NA,NA,28.42534081,29.73213749,18.38477631,18.38477631,16.2788206,17.33179845
10,18.97366596,28.63564213,22.8035085,25.96150997,23.70653918,NA,NA,30.41381265,26.90724809,14.2126704,14.2126704,14.2126704,14.2126704
11,5.385164807,22.82542442,28.16025568,25.29822128,20.1246118,NA,NA,35.4682957,35.38361203,21.40093456,21.40093456,20,20.70046728
12,14.86606875,18.35755975,19.92485885,28.46049894,24.18677324,NA,NA,29.06888371,33.24154028,28.42534081,12.72792206,29.68164416,29.05349248
13,18.02775638,24.69817807,25.29822128,28.16025568,20.59126028,NA,NA,29.06888371,30.47950131,17.02938637,15.8113883,15,16.01469318
14,14.76482306,22.82542442,24.51530134,27.20294102,25.94224354,NA,NA,41.23105626,31.82766093,18.60107524,17.02938637,20.80865205,19.70486364
15,14.76482306,36.23534186,28.63564213,NA,NA,NA,NA,20.80865205,38.94868419,9.899494937,18.60107524,9.219544457,9.559519697
16,12.08304597,NA,NA,NA,NA,NA,NA,24.08318916,21.40093456,12.04159458,9.899494937,12.80624847,12.42392153
17,11.18033989,NA,NA,NA,NA,NA,NA,35,26.40075756,9.899494937,12.04159458,10,9.949747468
18,11.66190379,NA,NA,NA,NA,NA,NA,NA,36.05551275,9.219544457,9.899494937,7.810249676,8.514897067
19,13.41640786,NA,NA,NA,NA,NA,NA,NA,39.35733731,10,9.219544457,10,10
20,14.31782106,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
21,13.03840481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,14.76482306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,11.18033989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,9.433981132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,10.29563014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,8.544003745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,8.062257748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,6.708203932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
